Application,Runtime,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.445766,13.455,13.542,0.913,14.435,14.435
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.459269,13.503,13.483,0.952,14.414,14.414
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.472759,13.490,13.420,0.953,14.344,14.344
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.486256,13.496,13.554,0.867,14.402,14.402
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.499707,13.451,13.505,0.970,14.456,14.456
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.513199,13.492,13.466,0.983,14.430,14.430
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.526682,13.483,13.435,0.967,14.383,14.383
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.540095,13.413,13.521,0.991,14.490,14.490
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.553646,13.551,13.540,0.960,14.479,14.479
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.567175,13.529,13.471,0.969,14.421,14.421
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.580638,13.464,13.501,0.976,14.459,14.459
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.594177,13.539,13.432,0.939,14.352,14.352
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.607576,13.399,13.446,0.972,14.399,14.399
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.621033,13.457,13.480,0.961,14.421,14.421
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.634503,13.470,13.460,0.971,14.411,14.411
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.647969,13.466,13.461,0.965,14.406,14.406
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.661409,13.440,13.508,0.991,14.475,14.475
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.674935,13.526,13.434,0.969,14.382,14.382
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.688347,13.412,13.493,0.994,14.463,14.463
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.701847,13.500,12.718,0.987,13.681,13.681
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.714705,12.858,12.666,0.842,13.488,13.488
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.727297,12.592,12.631,0.918,13.528,13.528
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.740035,12.738,12.755,0.811,13.545,13.545
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.752750,12.715,12.726,0.850,13.556,13.556
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.765432,12.682,12.711,0.900,13.585,13.585
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.778153,12.721,12.669,0.885,13.534,13.534
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.790836,12.683,12.622,0.870,13.473,13.473
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.803452,12.617,12.709,0.879,13.565,13.565
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.816112,12.660,12.781,0.925,13.687,13.687
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.828912,12.800,12.747,0.907,13.634,13.634
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.841631,12.720,12.749,0.934,13.663,13.663
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.854376,12.745,12.706,0.938,13.625,13.625
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.867086,12.710,12.817,0.934,13.732,13.732
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.879877,12.791,12.775,0.961,13.716,13.716
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.892701,12.823,12.738,0.914,13.631,13.631
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.905413,12.712,12.794,0.939,13.713,13.713
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.918211,12.799,12.799,0.934,13.713,13.713
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.931091,12.880,12.766,0.853,13.600,13.600
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.943870,12.778,12.748,0.842,13.569,13.569
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.956620,12.751,12.706,0.838,13.525,13.525
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.969220,12.599,12.697,0.946,13.623,13.623
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.981882,12.663,13.426,0.980,14.386,14.386
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.995317,13.434,13.487,0.974,14.438,14.438
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.008771,13.454,13.349,1.004,14.332,14.332
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.022146,13.375,13.341,0.978,14.299,14.299
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.035431,13.285,13.263,1.034,14.278,14.278
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.048716,13.286,13.260,1.011,14.252,14.252
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.061999,13.283,13.287,0.994,14.255,14.255
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.075276,13.277,13.232,1.001,14.211,14.211
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.088517,13.241,13.234,0.989,14.204,14.204
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.101732,13.214,13.181,1.009,14.170,14.170
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.114939,13.207,13.107,0.985,14.070,14.070
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.128149,13.210,13.129,0.885,13.988,13.988
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.141188,13.039,13.183,0.968,14.133,14.133
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.154366,13.178,13.097,0.975,14.051,14.051
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.167444,13.078,13.112,0.995,14.086,14.086
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.180553,13.109,13.173,1.004,14.150,14.150
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.193768,13.216,13.288,0.952,14.223,14.223
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.207015,13.247,13.440,1.008,14.416,14.416
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.220465,13.450,13.462,0.984,14.427,14.427
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.233950,13.485,13.537,0.962,14.479,14.479
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.247493,13.543,13.464,0.957,14.400,14.400
